What is National Game of England?, Football, Basketball, Cricket, Baseball, Cricket
Study of Earthquake is called........., Seismology, Cosmology, Orology, Etimology, Seismology
Among the top 10 highest peaks in the world how many lie in Nepal, 6, 7, 8, 9, 8
The Laws of Electromagnetic Induction were given by?, Faraday, Tesla, Maxwell, Coulumb, Faraday
In what unit is electric power measured?, Coulumb, Watt, Power, Units, Watt
Which element is found in Vitamin B12?, Zinc, Cobalt, Calcium, Iron, Cobalt
What is the National Name of Japan?, Polska, Hellas, Drukyul, Nippon, Nippon
How many times a piece of paper can be folded at the most?, 6, 7, 8, Depends on the size of the paper, 7
What is the capital of Denmark?, Copenhagen, Helsinki, Ajax, Galatasaray, Copenhagen
Which is the longest River in the world?, Nile, Koshi, Ganga, Amazon, Nile
What is the color of the Black Box in aeroplanes?, White, Black, Orange, Red, Orange
Which city is known at 'The City of Seven Hills'?, Rome, Vactican City, Madrid, Berlin, Rome
Name the country where there no mosquitoes are found?, Japan, Italy, Argentina, France, France
Who is the author of 'Pulpasa Cafe'?, Narayan Wagle, Lal Gopal Subedi, B.P. Koirala, Khagendra Sangraula, Narayan Wagle
Which Blood Group is known as the Universal Recipient?, A, AB, B, O, AB
What is the unit of measurement of distance between Stars?, Light Year, Coulumb, Nautical Mile, Kilometer, Light Year
The country famous for Samba Dance is......., Brazil, Venezuela, Nigeria, Bolivia, Brazil
Wind speed is measured by ________?, Lysimeter, Air vane, Hydrometer, Anemometer, Anemometer
Which city in the world is popularly known as The City of Temple?, Delhi, Bhaktapur, Kathmandu, Agra, Kathmandu
Which hardware was used in the First Generation Computer?, Transistor, Valves, I.C, S.S.I, Valves
Ozone plate is being destroyed regularly because of _____?, L.P.G, Nitrogen, Methane, C.F.C, C.F.C
Who won the Women's Australian Open Tennis in 2007?, Martina Hingis, Maria Sarapova, Kim Clijster, Serena Williams, Serena Williams
Which film was awarded the Best Motion Picture at Oscar in 2010?, The Secret in their Eyes, Shutter Island, The King's Speech, The Reader, The King's Speech
